class,number,section,time,room,prof,enrollment
 APSC 100B - Engineering Practice ,3881,"305-LAB
Regular","Fr 8:30AM - 11:30AM
Fr 8:30AM - 11:30AM
Fr 8:30AM - 11:30AM
Fr 8:30AM - 11:30AM
Mo 7:30PM - 8:30PM","CHERNOFF RM206A
DUPUIS RM236
STIRLING RM406
STIRLING RM407
DUPUIS AUD","Clapham,Lynann
Clapham,Lynann
Clapham,Lynann
Clapham,Lynann
Clapham,Lynann",74
 APSC 112 - Electricity And Magnetism ,3848,"211-TUT
Regular","Fr 8:30AM - 9:30AM
Fr 8:30AM - 9:30AM","BOTTER RM B148
MACINTOSH-CORRY RM D122","Staff
Staff",50
 APSC 112 - Electricity And Magnetism ,3849,"212-TUT
Regular","Fr 8:30AM - 9:30AM
Fr 8:30AM - 9:30AM","BOTTER RM B148
MACINTOSH-CORRY RM D122","Staff
Staff",50
 APSC 200 - Engineering Design & Practice II ,3791,"202-STD
Regular","We 9:30AM - 11:30AM
Fr 8:30AM - 10:30AM
We 9:30AM - 11:30AM
Fr 8:30AM - 10:30AM","BEAMISH-MUNRO RM313A
BEAMISH-MUNRO RM313A
BEAMISH-MUNRO RM313B
BEAMISH-MUNRO RM313B","Diederichs,Mark Stephen,
Sneep,Jan
Diederichs,Mark Stephen,
Sneep,Jan
Diederichs,Mark Stephen,
Sneep,Jan
Diederichs,Mark Stephen,
Sneep,Jan",25
 ARTH 301 - The Artwork as Material Object ,5532,"001-LEC
Regular",Fr 8:30AM - 11:30AM,DUNNING RM27,"Amos,Johanna",51
 BIOL 103 - Introductory Biology of Organisms ,1287,"001-LEC
Regular","Mo 10:30AM - 11:30AM
We 9:30AM - 10:30AM
Fr 8:30AM - 9:30AM","DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101","Chippindale,Adam,
Walker,Virginia Katrina
Chippindale,Adam,
Walker,Virginia Katrina
Chippindale,Adam,
Walker,Virginia Katrina",544
 BIOL 202 - Diversity of Life II ,1297,"001-LEC
Regular","Mo 10:30AM - 11:30AM
We 9:30AM - 10:30AM
Fr 8:30AM - 9:30AM","DUNNING AUD
DUNNING AUD
DUNNING AUD","Nelson,William,
Ratcliffe,Laurene M
Nelson,William,
Ratcliffe,Laurene M
Nelson,William,
Ratcliffe,Laurene M",308
 BIOL 422 - Conservation Biology ,1767,"001-LEC
Regular","Mo 10:30AM - 11:30AM
We 9:30AM - 10:30AM
Fr 8:30AM - 9:30AM","ELLIS RM324
ELLIS RM324
ELLIS RM324","Friesen,Victoria L
Friesen,Victoria L
Friesen,Victoria L",73
 BIOL 527 - Paleolimnology and Global Environmental Change ,1784,"001-LSM
Regular",Fr 8:30AM - 11:30AM,BIOSCI RM3112,"Smol,John",11
 CHEE 223 - Fluid Mechanics ,2279,"001-LEC
Regular","Fr 8:30AM - 10:30AM
We 2:30PM - 3:30PM","STIRLING RM C
STIRLING RM C","Escobedo,Carlos
Escobedo,Carlos",123
