class,number,section,time,room,prof,enrollment
 NURS 207 - Nsg Care Acute Hosp Cts (Prac) ,4600,"003-LAB
Regular",Mo 8:00AM - 10:00AM,CATARAQUI  RM221 SIM LAB,Staff,23
 ANAT 409 - Selected Topics in Histology ,1055,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM","DUNNING RM11
DUNNING RM11","MacLeod,John R,
Tayade,Chandrakant
MacLeod,John R,
Tayade,Chandrakant",61
 APSC 142 - Intro Computer Program Engrs ,3813,"100-LEC
Regular",Mo 8:30AM - 9:30AM,ELLIS AUD,"Lynch,Brian",230
 APSC 142 - Intro Computer Program Engrs ,3815,"102-LEC
Regular",Mo 8:30AM - 9:30AM,STIRLING AUD,"Karaim,Malek",226
 ARTH 305 - Topics in Modern and Contemporary Art History ,1259,"001-LEC
Regular",Mo 8:30AM - 11:30AM,KINGSTON RM200,"Amos,Johanna",26
 ARTH 354 - Age of Rembrandt ,5539,"001-LEC
Regular","TBA
Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","TBA
DUNNING RM27
DUNNING RM27","Dickey,Stephanie
Dickey,Stephanie
Dickey,Stephanie",53
 BIOL 103 - Introductory Biology of Organisms ,1290,"004-LAB
Regular","Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM","BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319","Staff
Staff
Staff
Staff
Staff
Staff",18
 BIOL 103 - Introductory Biology of Organisms ,1291,"005-LAB
Regular","Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM","BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320","Staff
Staff
Staff
Staff
Staff
Staff",19
 BIOL 103 - Introductory Biology of Organisms ,1292,"006-LAB
Regular","Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM","BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319","Staff
Staff
Staff
Staff
Staff
Staff",18
 BIOL 103 - Introductory Biology of Organisms ,1293,"007-LAB
Regular","Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM","BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320","Staff
Staff
Staff
Staff
Staff
Staff",15
 BIOL 103 - Introductory Biology of Organisms ,5873,"081-LAB
Regular","Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM
Mo 8:30AM - 10:00AM","BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320","Staff
Staff
Staff
Staff
Staff
Staff",15
 BIOL 110 - Human Genetics and Evolution ,1760,"001-LTU
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Mo 12:30PM - 1:30PM","BIOSCI RM1102
BIOSCI RM1102
BIOSCI RM1102","Yates,Susan
Yates,Susan
Yates,Susan",39
 BIOL 431 - Cellular Basis of Adaptation ,1771,"001-LSM
Regular",Mo 8:30AM - 11:30AM,BIOSCI RM2111,"Young,Paul G",7
 BIOL 441 - Molecular Genetics ,1776,"001-LSM
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","BIOSCI RM2109
BIOSCI RM2109
BIOSCI RM2109","Bendena,William George,
Walker,Virginia Katrina
Bendena,William George,
Walker,Virginia Katrina
Bendena,William George,
Walker,Virginia Katrina",20
 CHEE 218 - Laboratory Projects I ,2275,"002-LAB
Regular",MoTh 8:30AM - 11:30AM,DUPUIS LAB,"Poirier,David",47
 CHEE 319 - Process Dynamics & Control ,2282,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","STIRLING RM A
STIRLING RM A
STIRLING RM A","Guay,Martin
Guay,Martin
Guay,Martin",146
 CHEM 112B - General Chemistry ,2646,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Th 9:30AM - 10:30AM
Mo 8:30AM - 9:30AM
Th 9:30AM - 10:30AM
Mo 8:30AM - 9:30AM
Th 9:30AM - 10:30AM","DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101","Wang,Suning
Wang,Suning
Cann,Natalie
Cann,Natalie
Stamplecoskie,Kevin
Stamplecoskie,Kevin",598
 CHEM 222 - Methods of Structure Determination ,2680,"002-TUT
Regular",Mo 8:30AM - 10:00AM,CHERNOFF RM211,Staff,26
 CHEM 223 - Organic Reactions ,2685,"002-LAB
Regular",Mo 8:30AM - 11:30AM,CHERNOFF RM118,Staff,61
 CHEM 326 - Environmental and Green Chemistry ,2698,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","JEFFERY RM225
JEFFERY RM225
JEFFERY RM225","Boyd,Alaina
Boyd,Alaina
Boyd,Alaina",48
 CISC 221 - Computer Architecture ,3487,"003-LAB
Regular",Mo 8:30AM - 10:30AM,GOODWIN RM248,Staff,52
 CISC 235 - Data Structures ,3489,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","BIOSCI AUD
BIOSCI AUD
BIOSCI AUD","Dawes,Robin W
Dawes,Robin W
Dawes,Robin W",201
 CIVL 331 - Structural Steel Design ,1830,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","JEFFERY RM127
JEFFERY RM127
JEFFERY RM127","MacDougall,Colin C
MacDougall,Colin C
MacDougall,Colin C",104
 CIVL 431 - Infrastructure Rehabilitation ,1856,"002-TUT
Regular",Mo 8:30AM - 10:30AM,TBA,Staff,64
 CIVL 431 - Infrastructure Rehabilitation ,1857,"003-LAB
Regular",Mo 8:30AM - 10:30AM,ELLIS RM43,Staff,64
 CLST 103 - Introduction to Roman Civilization ,1787,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","DUNNING AUD
DUNNING AUD
DUNNING AUD","Zaccagnino,Cristiana
Zaccagnino,Cristiana
Zaccagnino,Cristiana",352
 CLST 343 - The Later Roman Empire ,1800,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","JOHN WATSON RM217
JOHN WATSON RM217","Ward,Graeme
Ward,Graeme",39
 CMPE 212 - Introduction to Computing Science II ,3536,"003-LAB
Regular",Mo 8:30AM - 10:30AM,JEFFERY RM155,"McLeod,Alan D",48
 COMM 105 - Business Communications ,3701,"005-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM151
GOODES RM151","Coulter,Christine
Coulter,Christine",74
 COMM 122 - Finance II ,3616,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM153
GOODES RM153","Dudley,Evan
Dudley,Evan",81
 COMM 131 - Introduction To Marketing ,3622,"003-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM141
GOODES RM141","Wiebe,Jeffrey
Wiebe,Jeffrey",81
 COMM 151 - Organizational Behaviour ,3667,"006-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM118
GOODES RM118","Knutsen,Wenjue
Knutsen,Wenjue",73
 COMM 181 - Intro To Human Resource Mgmt ,3637,"002-LEC
Regular","Th 10:00AM - 11:30AM
Mo 8:30AM - 10:00AM","GOODES RM108
GOODES RM108","Rowbotham,Kate
Rowbotham,Kate",90
 COMM 322 - Advanced Corporate Finance ,4697,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM 305
GOODES RM 305","Chaigneau,Pierre
Chaigneau,Pierre",50
 COMM 335 - Marketing Communications ,3671,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM102
GOODES RM102","Libitz,Gregory
Libitz,Gregory",48
 COMM 374 - international Business Strategy ,3695,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","GOODES RM 101
GOODES RM 101","Bartholomew,Susan
Bartholomew,Susan",55
 CURR 310 - Computer Studies (IS) ,2409,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNMCAN MCARTHUR RM B307
DUNMCAN MCARTHUR RM B307
DUNMCAN MCARTHUR RM B307
DUNMCAN MCARTHUR RM B307","Powley,Wendy L
Powley,Wendy L
Powley,Wendy L
Powley,Wendy L",4
 CURR 318 - Theory Teach&Learn English(IS) ,2411,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 9:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM342A
DUNCAN MCARTHUR RM342A
DUNCAN MCARTHUR RM342B
DUNCAN MCARTHUR RM342B
DUNCAN MCARTHUR RM342A
DUNCAN MCARTHUR RM342B
DUNCAN MCARTHUR RM342A
DUNCAN MCARTHUR RM342B","Chin,Jane
Chin,Jane
Chin,Jane
Chin,Jane
Chin,Jane
Chin,Jane
Chin,Jane
Chin,Jane",54
