class,number,section,time,room,prof,enrollment
 APSC 100B - Engineering Practice ,3869,"206-STD
Regular","Fr 11:30AM - 2:30PM
Th 8:30AM - 10:30AM","TBA
TBA","Staff
Staff",75
 APSC 100B - Engineering Practice ,3871,"208-STD
Regular","Fr 11:30AM - 2:30PM
Th 8:30AM - 10:30AM","TBA
TBA","Staff
Staff",76
 APSC 103 - First Year Engineering Design Project ,3971,"206-STD
Regular","Fr 11:30AM - 2:30PM
Th 8:30AM - 10:30AM","TBA
TBA","Staff
Staff",75
 APSC 103 - First Year Engineering Design Project ,3972,"207-STD
Regular","Fr 11:30AM - 2:30PM
Th 8:30AM - 10:30AM","TBA
TBA","Staff
Staff",76
 APSC 132 - Chemistry and its Applications ,3852,"204-TUT
Regular",Th 8:30AM - 9:30AM,DUNNING RM27,Staff,53
 APSC 142 - Intro Computer Program Engrs ,3825,"300-LAB
Regular","Th 8:30AM - 10:30AM
Th 8:30AM - 10:30AM","BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM214","Staff
Staff",75
 BIOL 103 - Introductory Biology of Organisms ,1352,"028-LAB
Regular","Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM","BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319","Staff
Staff
Staff
Staff
Staff
Staff",18
 BIOL 103 - Introductory Biology of Organisms ,1353,"029-LAB
Regular","Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM","BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320","Staff
Staff
Staff
Staff
Staff
Staff",19
 BIOL 103 - Introductory Biology of Organisms ,1354,"030-LAB
Regular","Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM","BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319","Staff
Staff
Staff
Staff
Staff
Staff",15
 BIOL 103 - Introductory Biology of Organisms ,1355,"031-LAB
Regular","Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM","BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320","Staff
Staff
Staff
Staff
Staff
Staff",5
 BIOL 111 - Ecology and the Environment ,1401,"001-LEC
Regular","Tu 9:30AM - 10:30AM
Th 8:30AM - 9:30AM
Fr 10:30AM - 11:30AM","STIRLING RM C
STIRLING RM C
STIRLING RM C","Boag,Peter T
Boag,Peter T
Boag,Peter T",149
 BIOL 403 - Frontiers in Cell and Molecular Physiology ,1405,"001-LAB
Regular",Th 8:30AM - 11:30AM,BIOSCI RM3312,"Seroude,Laurent",18
 CHEE 218 - Laboratory Projects I ,2275,"002-LAB
Regular",MoTh 8:30AM - 11:30AM,DUPUIS LAB,"Poirier,David",47
 CHEE 324 - Organic Process Development ,3155,"001-LEC
Regular","Tu 9:30AM - 10:30AM
Th 8:30AM - 9:30AM
Fr 10:30AM - 11:30AM","ELLIS RM324
ELLIS RM324
ELLIS RM324","Parent,Scott J
Parent,Scott J
Parent,Scott J",19
 CHEM 112B - General Chemistry ,2709,"033-LAB
Regular",Th 8:30AM - 11:30AM,CHERNOFF RM206B,Staff,68
