class,number,section,time,room,prof,enrollment
 NURS 207 - Nsg Care Acute Hosp Cts (Prac) ,4613,"006-LAB
Regular",Tu 8:00AM - 10:00AM,CATARAQUI  RM221 SIM LAB,Staff,11
 ANAT 216 - Principles of Human Morphology II ,1047,"002-LAB
Regular",Tu 8:30AM - 10:30AM,MEDS RM302 - Anatomy,"Mackenzie,Leslie W",74
 ANAT 417 - Mammalian Embryonic Development ,1057,"001-LSM
Regular",Tu 8:30AM - 11:30AM,BIOSCI RM1120,"Easteal,Ronald Albert,
Funk,Colin,
Kawaja,Michael D",35
 APSC 100B - Engineering Practice ,3883,"307-LAB
Regular","Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Mo 6:30PM - 7:30PM","CHERNOFF RM206A
DUPUIS RM236
STIRLING RM406
STIRLING RM407
TBA","Clapham,Lynann
Clapham,Lynann
Clapham,Lynann
Clapham,Lynann
Clapham,Lynann",76
 APSC 100B - Engineering Practice ,3887,"317-LAB
Regular","Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Mo 6:30PM - 7:30PM","CHERNOFF RM206A
DUPUIS RM236
STIRLING RM406
STIRLING RM407
TBA","Clapham,Lynann
Clapham,Lynann
Clapham,Lynann
Clapham,Lynann
Clapham,Lynann",76
 APSC 102 - Experimentation and measurement ,3949,"307-LAB
Regular","Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Mo 6:30PM - 7:30PM","CHERNOFF RM206A
DUPUIS RM236
STIRLING RM406
STIRLING RM407
TBA","Clapham,Lynann
Clapham,Lynann
Clapham,Lynann
Clapham,Lynann
Clapham,Lynann",76
 APSC 132 - Chemistry and its Applications ,3808,"100-LEC
Regular","Tu 8:30AM - 9:30AM
We 10:30AM - 11:30AM
Fr 9:30AM - 10:30AM","ELLIS AUD
ELLIS AUD
ELLIS AUD","Mombourquette,Michael J,
Newstead,William
Mombourquette,Michael J,
Newstead,William
Mombourquette,Michael J,
Newstead,William",209
 APSC 142 - Intro Computer Program Engrs ,3820,"204-STD
Regular",Tu 8:30AM - 10:00AM,BEAMISH-MUNRO RM213,Staff,70
 APSC 142 - Intro Computer Program Engrs ,3905,"214-STD
Regular",Tu 8:30AM - 10:00AM,BEAMISH-MUNRO RM213,Staff,70
 ARTH 451 - Caravaggio and Artemisia ,2271,"001-SEM
Regular",Tu 8:30AM - 11:30AM,ONTARIO RM210,"Bailey,Gauvin",0
 BCHM 218 - Molecular Biology ,1101,"002-TUT
Regular",Tu 8:30AM - 9:30AM,JEFFERY RM101,Staff,57
 BCHM 218 - Molecular Biology ,1102,"003-TUT
Regular",Tu 8:30AM - 9:30AM,JEFFERY RM225,Staff,50
 BCHM 218 - Molecular Biology ,1103,"004-TUT
Regular",Tu 8:30AM - 9:30AM,ELLIS RM327,Staff,50
 BCHM 218 - Molecular Biology ,1104,"005-TUT
Regular",Tu 8:30AM - 9:30AM,JEFFERY RM234,Staff,41
 BCHM 313 - Physical Biochemistry ,1094,"001-LEC
Regular","Tu 8:30AM - 9:30AM
We 10:30AM - 11:30AM
Fr 9:30AM - 10:30AM","WALTER LIGHT RM210
WALTER LIGHT RM210
WALTER LIGHT RM210","Campbell,Robert L,
Craig,Andrew William,
Smith,Steven Philip
Campbell,Robert L,
Craig,Andrew William,
Smith,Steven Philip
Campbell,Robert L,
Craig,Andrew William,
Smith,Steven Philip",67
 BIOL 103 - Introductory Biology of Organisms ,1336,"012-LAB
Regular","Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM","BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319","Staff
Staff
Staff
Staff
Staff
Staff",19
 BIOL 103 - Introductory Biology of Organisms ,1337,"013-LAB
Regular","Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM","BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320","Staff
Staff
Staff
Staff
Staff
Staff",12
 BIOL 103 - Introductory Biology of Organisms ,1338,"014-LAB
Regular","Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM","BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319","Staff
Staff
Staff
Staff
Staff
Staff",12
 BIOL 103 - Introductory Biology of Organisms ,1339,"015-LAB
Regular","Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM","BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320","Staff
Staff
Staff
Staff
Staff
Staff",14
 BIOL 103 - Introductory Biology of Organisms ,5877,"085-LAB
Regular","Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM
Tu 8:30AM - 10:00AM","BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320","Staff
Staff
Staff
Staff
Staff
Staff",12
 BIOL 206 - Evolutionary Genetics ,1310,"004-LAB
Regular",Tu 8:30AM - 11:30AM,BIOSCI RM3326,Staff,20
 BIOL 206 - Evolutionary Genetics ,1311,"005-LAB
Regular",Tu 8:30AM - 11:30AM,BIOSCI RM3319,Staff,20
 BIOL 441 - Molecular Genetics ,1778,"003-LAB
Regular",Tu 8:30AM - 9:30AM,BIOSCI RM3110,"Bendena,William George,
Walker,Virginia Katrina",9
 BMED 817 - Mammalian Embryonic Development ,5599,"001-SEM
Regular",Tu 8:30AM - 11:30AM,BIOSCI RM1120,"Easteal,Ronald Albert,
Funk,Colin,
Kawaja,Michael D",35
 CHEE 218 - Laboratory Projects I ,2274,"001-LAB
Regular","Th 2:30PM - 5:30PM
Tu 8:30AM - 11:30AM","DUPUIS LAB
DUPUIS LAB","Poirier,David
Poirier,David",56
 CHEE 484 - Bioremediation ,2326,"002-TUT
Regular",Tu 8:30AM - 9:30AM,KINGSTON RM200,"Ramsay,Juliana",43
 CHEM 112B - General Chemistry ,2669,"025-LAB
Regular",Tu 8:30AM - 11:30AM,CHERNOFF RM206B,Staff,52
 CHEM 112B - General Chemistry ,2670,"026-LAB
Regular",Tu 8:30AM - 11:30AM,CHERNOFF RM202,Staff,29
 CHEM 112B - General Chemistry ,2671,"027-LAB
Regular",Tu 8:30AM - 11:30AM,CHERNOFF RM206B,Staff,52
 CHEM 112B - General Chemistry ,2672,"028-LAB
Regular",Tu 8:30AM - 11:30AM,CHERNOFF RM213,Staff,19
 CHEM 223 - Organic Reactions ,2687,"004-LAB
Regular",Tu 8:30AM - 11:30AM,CHERNOFF RM118,Staff,77
 CHEM 321 - Instrumental Chemical Analysis ,2694,"001-LEC
Regular","Tu 8:30AM - 9:30AM
We 10:30AM - 11:30AM
Fr 9:30AM - 10:30AM","STIRLING RM412A
STIRLING RM412A
STIRLING RM412A","Oleschuk,Richard
Oleschuk,Richard
Oleschuk,Richard",55
 CHEM 422 - Synthetic Organic Chemistry ,2708,"002-TUT
Regular",Tu 8:30AM - 9:30AM,CHERNOFF RM415,"Evans,P. Andrew",4
 CISC P81 - Computers: Applications and Implications ,4247,"001-LEC
Regular","Tu 8:30AM - 9:30AM
We 10:30AM - 11:30AM
Fr 9:30AM - 10:30AM
Tu 8:30AM - 9:30AM
We 10:30AM - 11:30AM
Fr 9:30AM - 10:30AM","JEFFERY RM155
JEFFERY RM155
JEFFERY RM155
JEFFERY RM157
JEFFERY RM157
JEFFERY RM157","Linley,Richard T
Linley,Richard T
Linley,Richard T
Linley,Richard T
Linley,Richard T
Linley,Richard T",98
 CISC 223 - Software Specifications ,3488,"001-LEC
Regular","Tu 8:30AM - 9:30AM
We 10:30AM - 11:30AM
Fr 9:30AM - 10:30AM","STIRLING AUD
STIRLING AUD
STIRLING AUD","Salomaa,Kai T
Salomaa,Kai T
Salomaa,Kai T",228
 CIVL 250 - Hydraulics I ,1829,"002-TUT
Regular",Tu 8:30AM - 11:30AM,ELLIS RM226,Staff,58
 CIVL 250 - Hydraulics I ,1844,"003-TUT
Regular",Tu 8:30AM - 11:30AM,CHERNOFF RM211,Staff,42
 CIVL 455 - River Engineering ,1839,"002-TUT
Regular",Tu 8:30AM - 11:30AM,JEFFERY RM118,Staff,50
 CMPE 223 - Software Specifications ,3532,"001-LEC
Regular","Tu 8:30AM - 9:30AM
We 10:30AM - 11:30AM
Fr 9:30AM - 10:30AM","STIRLING AUD
STIRLING AUD
STIRLING AUD","Salomaa,Kai T
Salomaa,Kai T
Salomaa,Kai T",228
