class,number,section,time,room,prof,enrollment
 NURS 305 - Comn Chalng & Implicat Care II ,4605,"002-LAB
Regular",We 8:00AM - 11:30AM,CATARAQUI RM222 LAB,"Harwood-Lunn,Lynne",116
class,number,section,time,room,prof,enrollment
 NURS 305 - Comn Chalng & Implicat Care II ,4605,"002-LAB
Regular",We 8:00AM - 11:30AM,CATARAQUI RM222 LAB,"Harwood-Lunn,Lynne",116
 NURS 345 - Adlt Chron & Acute Phys & Ment ,4609,"002-LAB
Regular",We 8:00AM - 11:30AM,CATARAQUI RM222 LAB,"Harwood-Lunn,Lynne",116
 ANAT 216 - Principles of Human Morphology II ,1046,"001-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","DUNNING AUD
DUNNING AUD
DUNNING AUD","Elbatarny,Hisham,
Mackenzie,Leslie W,
Tayade,Chandrakant
Elbatarny,Hisham,
Mackenzie,Leslie W,
Tayade,Chandrakant
Elbatarny,Hisham,
Mackenzie,Leslie W,
Tayade,Chandrakant",170
 APSC 112 - Electricity And Magnetism ,3838,"102-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","STIRLING AUD
STIRLING AUD
STIRLING AUD","Morelli,Jordan E
Morelli,Jordan E
Morelli,Jordan E",225
 APSC 112 - Electricity And Magnetism ,3974,"103-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","ELLIS RM324
ELLIS RM324
ELLIS RM324","Morin,Evelyn Louise
Morin,Evelyn Louise
Morin,Evelyn Louise",40
 APSC 112 - Electricity And Magnetism ,3836,"200-TUT
Regular","We 8:30AM - 9:30AM
We 8:30AM - 9:30AM","KINGSTON RM205
WALTER LIGHT RM212","Staff
Staff",55
 APSC 142 - Intro Computer Program Engrs ,3818,"202-STD
Regular",We 8:30AM - 10:00AM,BEAMISH-MUNRO RM213,Staff,66
 APSC 142 - Intro Computer Program Engrs ,3903,"212-STD
Regular",We 8:30AM - 10:00AM,BEAMISH-MUNRO RM213,Staff,66
 APSC 142 - Intro Computer Program Engrs ,3826,"301-LAB
Regular","We 8:30AM - 10:30AM
We 8:30AM - 10:30AM","BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM214","Staff
Staff",67
 APSC 142 - Intro Computer Program Engrs ,3911,"311-LAB
Regular","We 8:30AM - 10:30AM
We 8:30AM - 10:30AM","BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM214","Staff
Staff",67
 APSC 171 - Calculus I ,5403,"901-TUT
6 wk Win","We 9:30AM - 10:30AM
We 8:30AM - 9:30AM","JEFFERY RM127
JEFFERY RM126","Pond,Geoffrey
Pond,Geoffrey",55
 APSC 174 - Introduction To Linear Algebra ,3766,"101-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","ELLIS AUD
ELLIS AUD
ELLIS AUD","Mansouri,Abdol-Reza
Mansouri,Abdol-Reza
Mansouri,Abdol-Reza",218
 APSC 174 - Introduction To Linear Algebra ,5410,"900-LEC
12 wk Win","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM
Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM
Th 10:30AM - 11:30AM","JEFFERY RM126
JEFFERY RM126
JEFFERY RM126
JEFFERY RM126
JEFFERY RM126
JEFFERY RM126","Pond,Geoffrey
Pond,Geoffrey
Pond,Geoffrey
Pond,Geoffrey
Pond,Geoffrey
Pond,Geoffrey",59
 APSC 200 - Engineering Design & Practice II ,3787,"101-LEC
Regular","Mo 9:30AM - 10:30AM
We 8:30AM - 9:30AM","DUPUIS AUD
DUPUIS AUD","Lai,Yongjun
Lai,Yongjun",174
 ARTH 272 - Latin American Art ,1277,"001-LEC
Regular","Mo 10:00AM - 11:30AM
We 8:30AM - 10:00AM","KINGSTON RM201
KINGSTON RM201","Bailey,Gauvin
Bailey,Gauvin",79
" ARTH 310 - Feminism, Art, Art History ",1279,"001-LEC
Regular","Mo 10:00AM - 11:30AM
We 8:30AM - 10:00AM","DUNNING RM27
DUNNING RM27","Kennedy,Jennifer
Kennedy,Jennifer",52
 BIOL 103 - Introductory Biology of Organisms ,1344,"020-LAB
Regular","We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM","BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319","Staff
Staff
Staff
Staff
Staff
Staff",20
 BIOL 103 - Introductory Biology of Organisms ,1345,"021-LAB
Regular","We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM","BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320","Staff
Staff
Staff
Staff
Staff
Staff",20
 BIOL 103 - Introductory Biology of Organisms ,1346,"022-LAB
Regular","We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM","BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319
BIOSCI RM2319","Staff
Staff
Staff
Staff
Staff
Staff",19
 BIOL 103 - Introductory Biology of Organisms ,1347,"023-LAB
Regular","We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM
We 8:30AM - 10:00AM","BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320
BIOSCI RM2320","Staff
Staff
Staff
Staff
Staff
Staff",17
